Team,P,W,D,L,GF,GA,GD,Pts,xG,xGA,xPTS,Season,Standing
Man City,38,27,5,6,83,32,51,86,77.72,30.61,83.38,2021,1
Man United,38,21,11,6,73,44,29,74,63.17,41.92,65.64,2021,2
Liverpool,38,20,9,9,68,42,26,69,72.21,47.3,68.8,2021,3
Chelsea,38,19,10,9,58,36,22,67,68.66,30.9,77.41,2021,4
Leicester,38,20,6,12,68,50,18,66,58.8,47.07,59.75,2021,5
West Ham,38,19,8,11,62,47,15,65,60.34,49.86,59.18,2021,6
Tottenham,38,18,8,12,68,45,23,62,56.68,52.55,53.98,2021,7
Arsenal,38,18,7,13,55,39,16,61,52.25,43.23,58.72,2021,8
Leeds United,38,18,5,15,62,54,8,59,59.26,63.02,51.81,2021,9
Everton,38,17,8,13,47,48,-1,59,49.24,50.16,50.72,2021,10
Aston Villa,38,16,7,15,55,46,9,55,56.72,53.25,54.06,2021,11
Newcastle,38,12,9,17,46,62,-16,45,43.96,60.02,42.65,2021,12
Wolverhampton,38,12,9,17,36,52,-16,45,38.62,52.19,44.26,2021,13
Crystal Palace,38,12,8,18,41,66,-25,44,35.29,61.9,37.95,2021,14
Southampton,38,12,7,19,47,68,-21,43,45.28,58.55,44.17,2021,15
Brighton,38,9,14,15,40,46,-6,41,53.82,39.91,61.41,2021,16
Burnley,38,10,9,19,33,55,-22,39,38.13,59.06,38.1,2021,17
Fulham,38,5,13,20,27,53,-26,28,41.06,57.64,42.42,2021,18
West Brom,38,5,11,22,35,76,-41,26,34.97,74.04,29.59,2021,19
Sheffield United,38,7,2,29,20,63,-43,23,33.16,66.11,29.92,2021,20
Man City,38,29,6,3,99,26,73,93,93.4,25.21,91.88,2022,1
Liverpool,38,28,8,2,94,26,68,92,93.02,32.73,86.56,2022,2
Chelsea,38,21,11,6,76,33,43,74,69.3,35.12,73.38,2022,3
Tottenham,38,22,5,11,69,40,29,71,67.95,43.7,66.09,2022,4
Arsenal,38,22,3,13,61,48,13,69,63.39,48.39,64.76,2022,5
Man United,38,16,10,12,57,57,0,58,57.21,56.85,54.52,2022,6
West Ham,38,16,8,14,60,51,9,56,54.98,53.88,53.56,2022,7
Leicester,38,14,10,14,62,59,3,52,49.49,66.11,42.31,2022,8
Brighton,38,12,15,11,42,44,-2,51,49.57,47.21,54.18,2022,9
Wolverhampton,38,15,6,17,38,43,-5,51,39.04,58.48,40.54,2022,10
Newcastle,38,13,10,15,44,62,-18,49,41.53,62.71,41.53,2022,11
Crystal Palace,38,11,15,12,50,46,4,48,48.84,41.33,58.15,2022,12
Brentford,38,13,7,18,48,56,-8,46,52.89,49.5,56,2022,13
Aston Villa,38,13,6,19,52,54,-2,45,43.13,53.1,46.2,2022,14
Southampton,38,9,13,16,43,67,-24,40,47.35,64.56,43.45,2022,15
Everton,38,11,6,21,43,66,-23,39,44.47,60.69,43.54,2022,16
Leeds United,38,9,11,18,42,79,-37,38,51.19,71.31,43.86,2022,17
Burnley,38,7,14,17,34,53,-19,35,41.11,60.22,38.1,2022,18
Watford,38,6,5,27,34,77,-43,23,39.34,67.53,35.45,2022,19
Norwich,38,5,7,26,23,84,-61,22,31.51,80.08,25.04,2022,20
