No,Player,Team,Seasons,Apps,Min,G,A,xG,xA
1,Alexandre Lacazette,Arsenal,2021,31,1939,13,2,12.03,2.21
2, Pierre-Emerick Aubameyang ,Arsenal,2021,29,2333,10,3,10.45,2.43
3,Nicolas Pepe,Arsenal,2021,29,1602,10,1,6,1.01
4,Bukayo Saka,Arsenal,2021,32,2577,5,3,7.17,4.51
5,Gabriel,Arsenal,2021,23,1994,2,0,1.56,0.06
6,Eddie Nketiah,Arsenal,2021,17,405,2,1,2.02,0.74
7,Emile Smith-Rowe,Arsenal,2021,20,1456,2,4,1.59,3.62
8,Gabriel Martinelli,Arsenal,2021,14,581,2,1,3.25,1.75
9,Granit Xhaka,Arsenal,2021,31,2537,1,2,0.78,1.46
10,Héctor Bellerín,Arsenal,2021,25,2098,1,2,0.86,2.17
11,Mohamed Elneny,Arsenal,2021,23,1540,1,0,0.48,0.26
12,Willian,Arsenal,2021,25,1413,1,5,1.83,3.59
13,David Luiz,Arsenal,2021,20,1410,1,0,0.67,0.52
14,Martin Odegaard,Arsenal,2021,14,865,1,2,0.62,1.96
15,Kieran Tierney,Arsenal,2021,27,2305,1,3,0.39,3.82
16,Bernd Leno,Arsenal,2021,35,3136,0,0,0,0
17, Sead Kolasinac ,Arsenal,2021,1,90,0,0,0,0
18,Calum Chambers,Arsenal,2021,10,750,0,2,0.36,1.04
19,Cédric Soares,Arsenal,2021,10,746,0,1,0.2,0.89
20,Shkodran Mustafi,Arsenal,2021,3,43,0,0,0,0
21,Rob Holding,Arsenal,2021,30,2548,0,1,0.73,0.2
22,Ainsley Maitland-Niles ,Arsenal,2021,11,483,0,0,0.1,0.08
23,Thomas Partey,Arsenal,2021,24,1543,0,2,1.16,1.12
24,Mat Ryan,Arsenal,2021,3,270,0,0,0,0.06
25,Dani Ceballos,Arsenal,2021,25,1613,0,3,0.66,2.58
26,Reiss Nelson,Arsenal,2021,2,59,0,0,0.06,0
27,Joe Willock,Arsenal,2021,7,229,0,0,0.24,0.06
28,Rúnar Alex Rúnarsson,Arsenal,2021,1,11,0,0,0,0
29,Pablo Marí,Arsenal,2021,10,900,0,0,0.04,0.05
1,Ilkay Gündogan,Man City,2021,28,2033,13,2,9.57,3.82
2,Raheem Sterling,Man City,2021,31,2539,10,7,12.05,6.63
3,Riyad Mahrez,Man City,2021,27,1961,9,6,6.23,6.09
4,Gabriel Jesus,Man City,2021,29,2053,9,4,9.65,3.55
5,Phil Foden,Man City,2021,28,1606,9,5,6.08,4.75
6,Ferrán Torres,Man City,2021,24,1305,7,2,5.73,2.2
7,Kevin De Bruyne,Man City,2021,25,2008,6,12,9.98,10.96
8,John Stones,Man City,2021,22,1933,4,0,2.5,0.05
9,Sergio Agüero,Man City,2021,12,556,4,1,3.72,1.32
10,João Cancelo,Man City,2021,28,2309,2,3,1.887,5.18
11,Rodri,Man City,2021,34,2751,2,2,2.66,2.34
12,Benjamin Mendy,Man City,2021,13,955,2,1,0.33,0.3
13,Bernardo Silva,Man City,2021,26,2080,2,6,3.6,4.82
14,Nathan Aké,Man City,2021,10,802,1,0,0.51,0.02
15,Kyle Walker,Man City,2021,24,1944,1,1,0.2,0.5
16,Rúben Dias,Man City,2021,32,2848,1,0,1.95,0.11
17,Fernandinho,Man City,2021,21,1170,0,2,0.82,1.54
18,Aymeric Laporte,Man City,2021,16,1335,0,0,0.84,0.58
19,Oleksandr Zinchenko,Man City,2021,20,1473,0,0,0.66,1.09
20,Ederson,Man City,2021,36,3240,0,1,0,0.3
21,Zack Steffen,Man City,2021,1,90,0,0,0,0
22,Eric Garcia,Man City,2021,6,378,0,0,0.07,0.01
23,Scott Carson,Man City,2021,1,90,0,0,0,0
24,Liam Delap,Man City,2021,1,39,0,0,0.06,0
1,Bruno Fernandes,Man United,2021,37,3117,18,12,16.02,11.47
2,Marcus Rashford,Man United,2021,37,2941,11,9,9.58,4.19
3,Edinson Cavani,Man United,2021,26,1355,10,3,8.6,2.32
4,Mason Greenwood,Man United,2021,31,1825,7,2,6.98,2.43
5,Anthony Martial,Man United,2021,22,1494,4,3,7.41,2.62
6,Scott McTominay,Man United,2021,32,2121,4,1,1.85,2.11
7,Paul Pogba,Man United,2021,26,1893,3,3,2.99,2.07
8,Daniel James,Man United,2021,15,920,3,1,2.31,1.33
9,Harry Maguire,Man United,2021,34,3049,2,1,1.48,0.29
10,Aaron Wan-Bissaka,Man United,2021,34,3060,2,4,0.93,2.55
11,Juan Mata,Man United,2021,9,518,1,2,1.07,0.72
12,Luke Shaw,Man United,2021,32,2659,1,5,0.69,6.47
13,Victor Lindelöf,Man United,2021,29,2587,1,1,0.8,0.4
14,Fred,Man United,2021,30,2404,1,0,1.73,2.23
15,Donny van de Beek,Man United,2021,19,486,1,1,0.29,1.04
16,Anthony Elanga,Man United,2021,2,157,1,0,0.55,0.02
17,David de Gea,Man United,2021,26,2298,0,0,0,0
18,Timothy Fosu-Mensah,Man United,2021,1,85,0,0,0.02,0.31
19,Odion Ighalo,Man United,2021,1,5,0,0,0,0
20,Nemanja Matic,Man United,2021,20,1099,0,0,0.16,0.89
21,Axel Tuanzebe,Man United,2021,9,401,0,0,0,0
22,Eric Bailly,Man United,2021,12,916,0,0,0.08,0
23,Alex Telles,Man United,2021,9,696,0,2,0.15,0.78
24,Dean Henderson,Man United,2021,13,1122,0,0,0,0
25,Brandon Williams,Man United,2021,4,185,0,0,0.27,0.03
